,Title,Worldwide,Domestic,% Domestic,Foreign,% Foreign
568,Toilet: A Love Story,"$17,567,417 ","$1,830,715 ",10.40%,"$15,736,702 ",89.60%
569,Fate/Stay Night: Heaven's Feel - I. Presage Flower,"$17,422,935 ","$193,833 ",1.10%,"$17,229,102 ",98.90%
570,Legend of the Naga Pearls,"$17,274,695 ","$13,588 ",<0.1%,"$17,261,107 ",99.90%
571,Before I Fall,"$16,373,843 ","$12,241,122 ",74.80%,"$4,132,721 ",25.20%
572,Wonder Wheel,"$15,889,124 ","$1,404,061 ",8.80%,"$14,485,063 ",91.20%
573,Gold,"$14,880,939 ","$7,227,038 ",48.60%,"$7,653,901 ",51.40%
574,School of Life,"$14,880,497 ","$6,300 ",<0.1%,"$14,874,197 ",100%
575,The Space Between Us,"$14,793,385 ","$7,885,294 ",53.30%,"$6,908,091 ",46.70%
576,Megan Leavey,"$14,510,490 ","$13,406,883 ",92.40%,"$1,103,607 ",7.60%
577,Do It Like An Hombre,"$13,610,252 ","$2,534,252 ",18.60%,"$11,076,000 ",81.40%
578,The Third Murder,"$13,395,005 ","$89,315 ",0.70%,"$13,305,690 ",99.30%
579,Our President,"$13,392,049 ","$507,268 ",3.80%,"$12,884,781 ",96.20%
580,Paris Can Wait,"$13,203,541 ","$5,617,731 ",42.50%,"$7,585,810 ",57.50%
581,"Roman J. Israel, Esq.","$13,025,860 ","$11,962,778 ",91.80%,"$1,063,082 ",8.20%
582,Mubarakan,"$12,899,968 ","$758,868 ",5.90%,"$12,141,100 ",94.10%
583,Suburbicon,"$12,751,667 ","$5,775,178 ",45.30%,"$6,976,489 ",54.70%
584,Their Finest,"$12,597,262 ","$3,603,484 ",28.60%,"$8,993,778 ",71.40%
585,The Promise,"$12,448,676 ","$8,224,288 ",66.10%,"$4,224,388 ",33.90%
586,Marrowbone,"$12,294,931 ","$1,377 ",<0.1%,"$12,293,554 ",100%
587,The Bookshop,"$12,055,868 ","$1,588,150 ",13.20%,"$10,467,718 ",86.80%
588,Earth: One Amazing Day,"$11,712,496 ","$81,345 ",0.70%,"$11,631,151 ",99.30%
589,Back to Burgundy,"$11,625,884 ","$257,610 ",2.20%,"$11,368,274 ",97.80%
590,The King's Case Note,"$11,383,493 ","$90,959 ",0.80%,"$11,292,534 ",99.20%
591,The Belko Experiment,"$11,084,630 ","$10,166,820 ",91.70%,"$917,810 ",8.30%
592,The Florida Project,"$10,971,298 ","$5,904,366 ",53.80%,"$5,066,932 ",46.20%
593,A Bag of Marbles,"$10,898,998 ","$411,318 ",3.80%,"$10,487,680 ",96.20%
594,The Leisure Seeker,"$10,472,180 ","$3,226,443 ",30.80%,"$7,245,737 ",69.20%
595,Furious,"$10,433,259 ","$9,996 ",<0.1%,"$10,423,263 ",99.90%
596,Marshall,"$10,116,816 ","$10,051,659 ",99.40%,"$65,157 ",0.60%
597,Thank You for Your Service,"$9,995,692 ","$9,536,300 ",95.40%,"$459,392 ",4.60%
598,Maudie,"$9,733,932 ","$6,170,998 ",63.40%,"$3,562,934 ",36.60%
599,Overdrive,"$9,650,552 ","$7,793 ",<0.1%,"$9,642,759 ",99.90%
600,Avengers: Infinity War,"$2,048,359,754 ","$678,815,482 ",33.10%,"$1,369,544,272 ",66.90%
601,Black Panther,"$1,346,913,161 ","$700,059,566 ",52%,"$646,853,595 ",48%
602,Jurassic World: Fallen Kingdom,"$1,308,467,944 ","$417,719,760 ",31.90%,"$890,748,184 ",68.10%
603,Incredibles 2,"$1,242,805,359 ","$608,581,744 ",49%,"$634,223,615 ",51%
604,Aquaman,"$1,148,161,807 ","$335,061,807 ",29.20%,"$813,100,000 ",70.80%
605,Bohemian Rhapsody,"$903,655,259 ","$216,428,042 ",24%,"$687,227,217 ",76%
606,Venom,"$856,085,151 ","$213,515,506 ",24.90%,"$642,569,645 ",75.10%
607,Mission: Impossible - Fallout,"$791,115,104 ","$220,159,104 ",27.80%,"$570,956,000 ",72.20%
608,Deadpool 2,"$734,546,611 ","$318,491,426 ",43.40%,"$416,055,185 ",56.60%
609,Fantastic Beasts: The Crimes of Grindelwald,"$653,755,901 ","$159,555,901 ",24.40%,"$494,200,000 ",75.60%
610,Ant-Man and the Wasp,"$622,674,139 ","$216,648,740 ",34.80%,"$406,025,399 ",65.20%
611,Ready Player One,"$582,890,172 ","$137,690,172 ",23.60%,"$445,200,000 ",76.40%
612,Operation Red Sea,"$579,220,560 ","$1,543,547 ",0.30%,"$577,677,013 ",99.70%
613,Detective Chinatown 2,"$544,061,916 ","$1,983,984 ",0.40%,"$542,077,932 ",99.60%
614,The Meg,"$530,243,742 ","$145,443,742 ",27.40%,"$384,800,000 ",72.60%
615,Ralph Breaks the Internet,"$529,323,962 ","$201,091,711 ",38%,"$328,232,251 ",62%
616,Hotel Transylvania 3: Summer Vacation,"$528,583,774 ","$167,510,016 ",31.70%,"$361,073,758 ",68.30%
617,Dr. Seuss' The Grinch,"$511,595,957 ","$270,620,950 ",52.90%,"$240,975,007 ",47.10%
618,Bumblebee,"$467,989,645 ","$127,195,589 ",27.20%,"$340,794,056 ",72.80%
619,A Star Is Born,"$434,888,866 ","$215,288,866 ",49.50%,"$219,600,000 ",50.50%
620,Rampage,"$428,028,233 ","$101,028,233 ",23.60%,"$327,000,000 ",76.40%
621,Mamma Mia! Here We Go Again,"$395,044,706 ","$120,634,935 ",30.50%,"$274,409,771 ",69.50%
622,Solo: A Star Wars Story,"$392,924,807 ","$213,767,512 ",54.40%,"$179,157,295 ",45.60%
623,Spider-Man: Into the Spider-Verse,"$375,540,831 ","$190,241,310 ",50.70%,"$185,299,521 ",49.30%
624,Fifty Shades Freed,"$371,985,018 ","$100,407,760 ",27%,"$271,577,258 ",73%
625,The Nun,"$365,550,119 ","$117,450,119 ",32.10%,"$248,100,000 ",67.90%
626,Monster Hunt 2,"$361,682,618 ","$706,153 ",0.20%,"$360,976,465 ",99.80%
627,Peter Rabbit,"$351,266,433 ","$115,253,424 ",32.80%,"$236,013,009 ",67.20%
628,Mary Poppins Returns,"$349,537,494 ","$171,958,438 ",49.20%,"$177,579,056 ",50.80%
629,A Quiet Place,"$340,939,361 ","$188,024,361 ",55.10%,"$152,915,000 ",44.90%
630,Green Book,"$321,752,656 ","$85,080,171 ",26.40%,"$236,672,485 ",73.60%
631,Skyscraper,"$304,868,961 ","$68,420,120 ",22.40%,"$236,448,841 ",77.60%
632,Ocean's Eight,"$297,718,711 ","$140,218,711 ",47.10%,"$157,500,000 ",52.90%
633,Pacific Rim: Uprising,"$290,930,148 ","$59,874,525 ",20.60%,"$231,055,623 ",79.40%
634,Maze Runner: The Death Cure,"$288,175,335 ","$58,032,443 ",20.10%,"$230,142,892 ",79.90%
635,Tomb Raider,"$274,650,803 ","$58,250,803 ",21.20%,"$216,400,000 ",78.80%
636,Halloween,"$255,485,178 ","$159,342,015 ",62.40%,"$96,143,163 ",37.60%
637,Crazy Rich Asians,"$238,532,921 ","$174,532,921 ",73.20%,"$64,000,000 ",26.80%
638,Creed II,"$214,115,889 ","$115,715,889 ",54%,"$98,400,000 ",46%
639,Smallfoot,"$214,040,103 ","$83,240,103 ",38.90%,"$130,800,000 ",61.10%
640,The Island,"$198,326,350 ","$670,883 ",0.30%,"$197,655,467 ",99.70%
641,Christopher Robin,"$197,744,377 ","$99,215,042 ",50.20%,"$98,529,335 ",49.80%
642,The Equalizer 2,"$190,400,157 ","$102,084,362 ",53.60%,"$88,315,795 ",46.40%
643,The Mule,"$174,504,407 ","$103,804,407 ",59.50%,"$70,700,000 ",40.50%
644,The Nutcracker and the Four Realms,"$173,961,069 ","$54,858,851 ",31.50%,"$119,102,218 ",68.50%
645,Insidious: The Last Key,"$167,885,588 ","$67,745,330 ",40.40%,"$100,140,258 ",59.60%
646,The Predator,"$160,542,134 ","$51,024,708 ",31.80%,"$109,517,426 ",68.20%
647,Johnny English Strikes Again,"$158,970,776 ","$4,412,170 ",2.80%,"$154,558,606 ",97.20%
648,Red Sparrow,"$151,572,634 ","$46,874,505 ",30.90%,"$104,698,129 ",69.10%
649,More Than Blue,"$142,958,164 ","$722,669 ",0.50%,"$142,235,495 ",99.50%
650,The First Purge,"$137,056,262 ","$69,488,745 ",50.70%,"$67,567,517 ",49.30%
651,A Wrinkle in Time,"$132,675,864 ","$100,478,608 ",75.70%,"$32,197,256 ",24.30%
652,The House with a Clock in Its Walls,"$131,457,147 ","$68,549,695 ",52.10%,"$62,907,452 ",47.90%
653,Instant Family,"$120,556,201 ","$67,363,237 ",55.90%,"$53,192,964 ",44.10%
654,A Cool Fish,"$118,153,135 ","$551,876 ",0.50%,"$117,601,259 ",99.50%
655,Game Night,"$117,679,066 ","$69,179,066 ",58.80%,"$48,500,000 ",41.20%
656,The Monkey King 3,"$115,084,576 ","$187,074 ",0.20%,"$114,897,502 ",99.80%
657,Dragon Ball Super: Broly,"$114,102,821 ","$30,712,119 ",26.90%,"$83,390,702 ",73.10%
658,First Man,"$105,697,415 ","$44,936,545 ",42.50%,"$60,760,870 ",57.50%
659,Book Club,"$104,438,188 ","$68,566,296 ",65.70%,"$35,871,892 ",34.30%
660,Night School,"$103,105,878 ","$77,339,130 ",75%,"$25,766,748 ",25%
661,Alpha,"$98,203,196 ","$35,857,181 ",36.50%,"$62,346,015 ",63.50%
662,Along With the Gods: The Last 49 Days,"$97,962,238 ","$1,200,246 ",1.20%,"$96,761,992 ",98.80%
663,A Simple Favor,"$97,644,617 ","$53,548,586 ",54.80%,"$44,096,031 ",45.20%
664,The Favourite,"$95,918,706 ","$34,366,783 ",35.80%,"$61,551,923 ",64.20%
665,Blumhouse's Truth or Dare,"$95,330,493 ","$41,411,015 ",43.40%,"$53,919,478 ",56.60%
666,I Feel Pretty,"$94,539,426 ","$48,795,601 ",51.60%,"$45,743,825 ",48.40%
667,Blockers,"$94,017,294 ","$60,311,495 ",64.10%,"$33,705,799 ",35.90%
668,BlacKkKlansman,"$93,400,823 ","$49,275,340 ",52.80%,"$44,125,483 ",47.20%
669,Goosebumps 2: Haunted Halloween,"$93,320,380 ","$46,700,633 ",50%,"$46,619,747 ",50%
670,Shadow,"$91,708,374 ","$521,396 ",0.60%,"$91,186,978 ",99.40%
671,Overboard,"$91,244,913 ","$50,316,123 ",55.10%,"$40,928,790 ",44.90%
672,Sherlock Gnomes,"$90,345,871 ","$43,242,871 ",47.90%,"$47,103,000 ",52.10%
673,Detective Dee: The Four Heavenly Kings,"$90,040,771 ","$262,963 ",0.30%,"$89,777,808 ",99.70%
674,I Can Only Imagine,"$86,022,265 ","$83,482,352 ",97%,"$2,539,913 ",3%
675,Robin Hood,"$85,882,380 ","$30,824,628 ",35.90%,"$55,057,752 ",64.10%
676,Mortal Engines,"$83,672,673 ","$15,951,040 ",19.10%,"$67,721,633 ",80.90%
677,How Long Will I Love U,"$82,881,319 ","$746,933 ",0.90%,"$82,134,386 ",99.10%
678,Den of Thieves,"$80,509,622 ","$44,947,622 ",55.80%,"$35,562,000 ",44.20%
679,Hereditary,"$79,336,821 ","$44,069,456 ",55.50%,"$35,267,365 ",44.50%
680,Tag,"$78,130,625 ","$54,730,625 ",70.10%,"$23,400,000 ",29.90%
681,Vice,"$76,073,488 ","$47,836,282 ",62.90%,"$28,237,206 ",37.10%
682,Widows,"$75,984,700 ","$42,402,632 ",55.80%,"$33,582,068 ",44.20%
683,Sicario: Day of the Soldado,"$75,836,683 ","$50,072,235 ",66%,"$25,764,448 ",34%
684,Searching,"$75,462,037 ","$26,020,957 ",34.50%,"$49,441,080 ",65.50%
685,The Spy Who Dumped Me,"$75,320,680 ","$33,562,069 ",44.60%,"$41,758,611 ",55.40%
686,Second Act,"$72,282,227 ","$39,282,227 ",54.30%,"$33,000,000 ",45.70%
687,Sanju,"$71,535,130 ","$7,909,317 ",11.10%,"$63,625,813 ",88.90%
688,Spirited Away 2018 Re-release,"$70,186,029 ","$1,175,067 ",1.70%,"$69,010,962 ",98.30%
689,Shoplifters,"$67,998,954 ","$3,313,513 ",4.90%,"$64,685,441 ",95.10%
690,12 Strong,"$67,450,815 ","$45,819,713 ",67.90%,"$21,631,102 ",32.10%
691,"Love, Simon","$66,316,289 ","$40,826,341 ",61.60%,"$25,489,948 ",38.40%
692,Mile 22,"$66,308,758 ","$36,108,758 ",54.50%,"$30,200,000 ",45.50%
693,Life of the Party,"$65,859,911 ","$53,059,911 ",80.60%,"$12,800,000 ",19.40%
694,Capernaum,"$64,398,132 ","$1,661,096 ",2.60%,"$62,737,036 ",97.40%
695,Isle of Dogs,"$64,241,499 ","$32,015,231 ",49.80%,"$32,226,268 ",50.20%
696,Adrift,"$59,945,012 ","$31,445,012 ",52.50%,"$28,500,000 ",47.50%
697,The 15:17 to Paris,"$57,076,286 ","$36,276,286 ",63.60%,"$20,800,000 ",36.40%
698,Early Man,"$54,622,814 ","$8,267,544 ",15.10%,"$46,355,270 ",84.90%
699,Peppermint,"$53,918,723 ","$35,418,723 ",65.70%,"$18,500,000 ",34.30%
700,Teen Titans GO! to the Movies,"$52,090,236 ","$29,790,236 ",57.20%,"$22,300,000 ",42.80%
701,Slender Man,"$51,738,549 ","$30,569,484 ",59.10%,"$21,169,065 ",40.90%
702,Breaking In,"$51,411,620 ","$46,840,590 ",91.10%,"$4,571,030 ",8.90%
703,Once Upon a Deadpool 2018 Re-release,"$50,500,309 ","$6,100,309 ",12.10%,"$44,400,000 ",87.90%
704,Death Wish,"$49,562,710 ","$34,017,028 ",68.60%,"$15,545,682 ",31.40%
705,Andhadhun,"$49,391,206 ","$1,193,046 ",2.40%,"$48,198,160 ",97.60%
706,Golden Job,"$47,279,677 ","$285,795 ",0.60%,"$46,993,882 ",99.40%
707,Mary Queen of Scots,"$46,672,564 ","$16,468,499 ",35.30%,"$30,204,065 ",64.70%
708,Uncle Drew,"$46,664,414 ","$42,469,946 ",91%,"$4,194,468 ",9%
709,Tyler Perry's Acrimony,"$46,403,669 ","$43,549,096 ",93.80%,"$2,854,573 ",6.20%
710,Asterix: The Secret of the Magic Potion,"$46,153,570 ","$1,271,953 ",2.80%,"$44,881,617 ",97.20%
711,Winchester,"$44,019,588 ","$25,091,816 ",57%,"$18,927,772 ",43%
712,Annihilation,"$43,070,915 ","$32,732,301 ",76%,"$10,338,614 ",24%
713,The Possession of Hannah Grace,"$43,016,528 ","$14,837,422 ",34.50%,"$28,179,106 ",65.50%
714,Long Day's Journey Into Night,"$42,118,413 ","$521,365 ",1.20%,"$41,597,048 ",98.80%
715,Overlord,"$41,657,844 ","$21,704,844 ",52.10%,"$19,953,000 ",47.90%
716,The Great Battle,"$41,509,280 ","$472,166 ",1.10%,"$41,037,114 ",98.90%
717,The Darkest Minds,"$41,142,379 ","$12,695,691 ",30.90%,"$28,446,688 ",69.10%
718,Holmes & Watson,"$40,466,970 ","$30,573,626 ",75.60%,"$9,893,344 ",24.40%
719,Show Dogs,"$39,156,854 ","$17,857,020 ",45.60%,"$21,299,834 ",54.40%
720,Believer,"$39,047,153 ","$365,639 ",0.90%,"$38,681,514 ",99.10%
721,The Spy Gone North,"$38,844,509 ","$500,803 ",1.30%,"$38,343,706 ",98.70%
722,On the Basis of Sex,"$38,673,750 ","$24,622,687 ",63.70%,"$14,051,063 ",36.30%
723,Till The End Of The World,"$37,013,733 ","$118,660 ",0.30%,"$36,895,073 ",99.70%
724,Nothing to Lose,"$36,075,317 ","$1,016,188 ",2.80%,"$35,059,129 ",97.20%
725,Mia and the White Lion,"$35,487,190 ","$399,471 ",1.10%,"$35,087,719 ",98.90%
726,The Girl in the Spider's Web,"$35,164,920 ","$14,841,338 ",42.20%,"$20,323,582 ",57.80%
727,The Hate U Give,"$34,934,009 ","$29,719,483 ",85.10%,"$5,214,526 ",14.90%
728,Nobody's Fool,"$33,532,593 ","$31,713,110 ",94.60%,"$1,819,483 ",5.40%
729,The Hurricane Heist,"$32,517,248 ","$6,115,825 ",18.80%,"$26,401,423 ",81.20%
730,Bad Times at the El Royale,"$31,882,724 ","$17,839,115 ",56%,"$14,043,609 ",44%
731,Hunter Killer,"$31,672,678 ","$15,767,460 ",49.80%,"$15,905,218 ",50.20%
732,Super Troopers 2,"$31,626,386 ","$30,617,396 ",96.80%,"$1,008,990 ",3.20%
733,Baaghi 2,"$31,210,089 ","$1,319,579 ",4.20%,"$29,890,510 ",95.80%
734,The Strangers: Prey at Night,"$31,039,126 ","$24,586,708 ",79.20%,"$6,452,418 ",20.80%
735,Free Solo,"$29,318,861 ","$17,541,090 ",59.80%,"$11,777,771 ",40.20%
736,Default,"$27,709,716 ","$203,775 ",0.70%,"$27,505,941 ",99.30%
737,One Cut of the Dead,"$27,590,180 ","$52,406 ",0.20%,"$27,537,774 ",99.80%
738,Mirai,"$27,526,961 ","$812,794 ",3%,"$26,714,167 ",97%
739,The Happytime Murders,"$27,506,452 ","$20,706,452 ",75.30%,"$6,800,000 ",24.70%
740,Midnight Sun,"$27,365,467 ","$9,561,064 ",34.90%,"$17,804,403 ",65.10%
741,Pad Man,"$27,258,765 ","$1,670,192 ",6.10%,"$25,588,573 ",93.90%
742,My Neighbor Totoro 2018 Re-release,"$27,083,857 ","$1,144,649 ",4.20%,"$25,939,208 ",95.80%
743,White Boy Rick,"$25,957,482 ","$24,011,188 ",92.50%,"$1,946,294 ",7.50%
744,Keys To The Heart,"$25,375,866 ","$75,134 ",0.30%,"$25,300,732 ",99.70%
745,Stan & Ollie,"$24,420,923 ","$5,470,235 ",22.40%,"$18,950,688 ",77.60%
746,The Accidental Detective 2: In Action,"$24,243,825 ","$179,045 ",0.70%,"$24,064,780 ",99.30%
747,Pokémon the Movie: The Power of Us,"$23,740,788 ","$789,170 ",3.30%,"$22,951,618 ",96.70%
748,"Paul, Apostle of Christ","$23,039,243 ","$17,560,475 ",76.20%,"$5,478,768 ",23.80%
749,Padmaavat,"$22,991,060 ","$11,846,060 ",51.50%,"$11,145,000 ",48.50%
750,Won't You Be My Neighbor?,"$22,842,400 ","$22,835,787 ",100%,"$6,613 ",<0.1%
751,Mojin: The Worm Valley,"$22,381,583 ","$101,516 ",0.50%,"$22,280,067 ",99.50%
752,Big Brother,"$22,090,304 ","$85,624 ",0.40%,"$22,004,680 ",99.60%
753,Master Z: The Ip Man Legacy,"$21,832,649 ","$209,454 ",1%,"$21,623,195 ",99%
754,Proud Mary,"$21,753,365 ","$20,877,013 ",96%,"$876,352 ",4%
755,The Prodigy,"$21,150,265 ","$14,856,291 ",70.20%,"$6,293,974 ",29.80%
756,Gonjiam: Haunted Asylum,"$21,041,950 ","$115,252 ",0.50%,"$20,926,698 ",99.50%
757,My Hero Academia: Two Heroes,"$21,022,724 ","$5,754,556 ",27.40%,"$15,268,168 ",72.60%
758,SuperFly,"$20,780,685 ","$20,545,116 ",98.90%,"$235,569 ",1.10%
759,If Beale Street Could Talk,"$20,572,691 ","$14,915,773 ",72.50%,"$5,656,918 ",27.50%
760,Burn the Stage: The Movie,"$20,347,513 ","$4,201,819 ",20.70%,"$16,145,694 ",79.30%
761,Cold War 2018 Re-release,"$20,272,780 ","$4,580,048 ",22.60%,"$15,692,732 ",77.40%
762,They Shall Not Grow Old 2018 Re-release,"$19,130,011 ","$17,956,913 ",93.90%,"$1,173,098 ",6.10%
763,Oolong Courtyard: KungFu School,"$19,129,015 ","$37,727 ",0.20%,"$19,091,288 ",99.80%
764,Detective K: Secret of the Living Dead,"$18,603,476 ","$104,013 ",0.60%,"$18,499,463 ",99.40%
765,Airpocalypse,"$18,491,089 ","$105,678 ",0.60%,"$18,385,411 ",99.40%
766,The Wife,"$18,205,312 ","$9,601,092 ",52.70%,"$8,604,220 ",47.30%
767,Sorry to Bother You,"$18,170,707 ","$17,493,096 ",96.30%,"$677,611 ",3.70%
768,Hell Fest,"$18,159,691 ","$11,107,431 ",61.20%,"$7,052,260 ",38.80%
769,Everybody Knows,"$17,997,350 ","$2,660,165 ",14.80%,"$15,337,185 ",85.20%
770,Chappaquiddick,"$17,986,671 ","$17,395,520 ",96.70%,"$591,151 ",3.30%
771,Beautiful Boy,"$17,877,506 ","$8,986,631 ",50.30%,"$8,890,875 ",49.70%
772,The Old Man & the Gun,"$17,860,397 ","$11,277,120 ",63.10%,"$6,583,277 ",36.90%
773,The Children Act,"$17,696,794 ","$547,750 ",3.10%,"$17,149,044 ",96.90%
774,Operation Finale,"$17,612,099 ","$17,612,099 ",100%,-,-
775,Loving Pablo,"$17,535,962 ","$22,017 ",0.10%,"$17,513,945 ",99.90%
776,Forever My Girl,"$16,376,066 ","$16,376,066 ",100%,-,-
777,Unfriended: Dark Web,"$16,024,987 ","$8,866,745 ",55.30%,"$7,158,242 ",44.70%
778,Finding Your Feet,"$15,845,593 ","$1,418,682 ",9%,"$14,426,911 ",91%
779,Feng Shui,"$15,702,302 ","$64,147 ",0.40%,"$15,638,155 ",99.60%
780,Tully,"$15,636,462 ","$9,369,755 ",59.90%,"$6,266,707 ",40.10%
781,The Negotiation,"$15,229,193 ","$110,986 ",0.70%,"$15,118,207 ",99.30%
782,RBG,"$14,441,292 ","$14,017,361 ",97.10%,"$423,931 ",2.90%
783,Upgrade,"$14,377,130 ","$11,977,130 ",83.30%,"$2,400,000 ",16.70%
784,Eighth Grade,"$14,347,433 ","$13,539,709 ",94.40%,"$807,724 ",5.60%
785,Thugs of Hindostan,"$14,341,431 ","$1,449,848 ",10.10%,"$12,891,583 ",89.90%
786,Unsane,"$14,293,601 ","$7,732,899 ",54.10%,"$6,560,702 ",45.90%
787,Colette,"$14,273,033 ","$5,137,622 ",36%,"$9,135,411 ",64%
788,Ya veremos,"$14,134,723 ","$4,165,949 ",29.50%,"$9,968,774 ",70.50%
789,The Quake,"$13,747,547 ","$6,235 ",<0.1%,"$13,741,312 ",100%
790,Three Identical Strangers,"$13,448,497 ","$12,320,845 ",91.60%,"$1,127,652 ",8.40%
791,Hotel Artemis,"$13,313,581 ","$6,708,147 ",50.40%,"$6,605,434 ",49.60%
792,The Sisters Brothers,"$13,143,056 ","$3,143,056 ",23.90%,"$10,000,000 ",76.10%
793,Welcome to Marwen,"$13,061,491 ","$10,763,520 ",82.40%,"$2,297,971 ",17.60%
794,Take Point,"$12,908,032 ","$112,386 ",0.90%,"$12,795,646 ",99.10%
795,Luis and the Aliens,"$12,627,729 ","$169,710 ",1.30%,"$12,458,019 ",98.70%
796,Can You Ever Forgive Me?,"$12,442,161 ","$8,803,865 ",70.80%,"$3,638,296 ",29.20%
797,Rampant,"$12,359,573 ","$167,937 ",1.40%,"$12,191,636 ",98.60%
798,Tall Tales from the Magical Garden of Antoon Krings 2018 Re-release,"$12,353,849 ",$220 ,<0.1%,"$12,353,629 ",100%
799,102 Not Out,"$12,214,889 ","$1,343,797 ",11%,"$10,871,092 ",89%
800,Avengers: Endgame,"$2,797,800,564 ","$858,373,000 ",30.70%,"$1,939,427,564 ",69.30%
801,The Lion King,"$1,656,310,290 ","$543,635,236 ",32.80%,"$1,112,675,054 ",67.20%
802,Spider-Man: Far from Home,"$1,131,927,996 ","$390,532,085 ",34.50%,"$741,395,911 ",65.50%
803,Captain Marvel,"$1,128,274,794 ","$426,829,839 ",37.80%,"$701,444,955 ",62.20%
804,Toy Story 4,"$1,073,392,661 ","$434,036,076 ",40.40%,"$639,356,585 ",59.60%
805,Aladdin,"$1,050,693,953 ","$355,559,216 ",33.80%,"$695,134,737 ",66.20%
806,Joker,"$1,049,054,740 ","$330,654,740 ",31.50%,"$718,400,000 ",68.50%
807,Fast & Furious Presents: Hobbs & Shaw,"$758,910,100 ","$173,810,100 ",22.90%,"$585,100,000 ",77.10%
808,Frozen II,"$745,248,362 ","$292,033,026 ",39.20%,"$453,215,336 ",60.80%
809,Ne Zha,"$700,547,754 ","$3,695,533 ",0.50%,"$696,852,221 ",99.50%
810,The Wandering Earth,"$699,760,773 ","$5,875,487 ",0.80%,"$693,885,286 ",99.20%
811,How to Train Your Dragon: The Hidden World,"$519,896,648 ","$160,799,505 ",30.90%,"$359,097,143 ",69.10%
812,Maleficent: Mistress of Evil,"$480,631,454 ","$111,615,883 ",23.20%,"$369,015,571 ",76.80%
813,It Chapter Two,"$470,289,082 ","$211,589,082 ",45%,"$258,700,000 ",55%
814,Pokémon Detective Pikachu,"$431,705,346 ","$144,105,346 ",33.40%,"$287,600,000 ",66.60%
815,The Secret Life of Pets 2,"$429,434,163 ","$158,257,265 ",36.90%,"$271,176,898 ",63.10%
816,"My People, My Country","$427,475,553 ","$2,356,683 ",0.60%,"$425,118,870 ",99.40%
817,The Captain,"$407,454,130 ","$706,572 ",0.20%,"$406,747,558 ",99.80%
818,Alita: Battle Angel,"$404,852,543 ","$85,710,210 ",21.20%,"$319,142,333 ",78.80%
819,Godzilla: King of the Monsters,"$385,900,138 ","$110,500,138 ",28.60%,"$275,400,000 ",71.40%
820,Once Upon a Time ... in Hollywood,"$371,950,710 ","$140,998,437 ",37.90%,"$230,952,273 ",62.10%
821,Shazam!,"$364,571,656 ","$140,371,656 ",38.50%,"$224,200,000 ",61.50%
822,Dumbo,"$353,284,621 ","$114,766,307 ",32.50%,"$238,518,314 ",67.50%
823,John Wick: Chapter 3 - Parabellum,"$326,685,953 ","$171,015,687 ",52.30%,"$155,670,266 ",47.70%
824,Us,"$255,105,930 ","$175,005,930 ",68.60%,"$80,100,000 ",31.40%
825,Men in Black: International,"$253,890,701 ","$80,001,807 ",31.50%,"$173,888,894 ",68.50%
826,Dark Phoenix,"$252,442,974 ","$65,845,974 ",26.10%,"$186,597,000 ",73.90%
827,Terminator: Dark Fate,"$250,463,963 ","$61,244,526 ",24.50%,"$189,219,437 ",75.50%
828,Glass,"$246,985,576 ","$111,035,005 ",45%,"$135,950,571 ",55%
829,The Bravest,"$238,007,250 ","$290,217 ",0.10%,"$237,717,033 ",99.90%
830,Annabelle Comes Home,"$228,552,591 ","$74,152,591 ",32.40%,"$154,400,000 ",67.60%
831,Better Days,"$220,675,137 ","$1,910,184 ",0.90%,"$218,764,953 ",99.10%
832,Rocketman,"$195,179,299 ","$96,368,160 ",49.40%,"$98,811,139 ",50.60%
833,The Lego Movie 2: The Second Part,"$191,306,508 ","$105,806,508 ",55.30%,"$85,500,000 ",44.70%
834,The White Storm 2: Drug Lords,"$188,092,373 ","$609,461 ",0.30%,"$187,482,912 ",99.70%
835,Downton Abbey,"$185,902,960 ","$96,702,960 ",52%,"$89,200,000 ",48%
836,The Addams Family,"$179,916,048 ","$96,416,048 ",53.60%,"$83,500,000 ",46.40%
837,Abominable,"$175,485,270 ","$60,185,270 ",34.30%,"$115,300,000 ",65.70%
838,Gemini Man,"$172,568,418 ","$48,530,720 ",28.10%,"$124,037,698 ",71.90%
839,Escape Room,"$155,712,077 ","$57,005,601 ",36.60%,"$98,706,476 ",63.40%
840,The Climbers,"$154,262,846 ","$487,157 ",0.30%,"$153,775,689 ",99.70%
841,Yesterday,"$151,286,650 ","$73,286,650 ",48.40%,"$78,000,000 ",51.60%
842,Hustlers,"$150,517,444 ","$104,917,444 ",69.70%,"$45,600,000 ",30.30%
843,The Angry Birds Movie 2,"$146,583,749 ","$41,657,076 ",28.40%,"$104,926,673 ",71.60%
844,Ford v Ferrari,"$144,532,846 ","$81,780,519 ",56.60%,"$62,752,327 ",43.40%
845,Angel Has Fallen,"$133,365,452 ","$69,030,436 ",51.80%,"$64,335,016 ",48.20%
846,Ad Astra,"$127,158,591 ","$50,171,039 ",39.50%,"$76,987,552 ",60.50%
847,The Upside,"$125,852,517 ","$108,252,517 ",86%,"$17,600,000 ",14%
848,Looking Up,"$122,994,583 ","$84,267 ",<0.1%,"$122,910,316 ",99.90%
849,The Curse of La Llorona,"$122,133,739 ","$54,733,739 ",44.80%,"$67,400,000 ",55.20%
