Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
184,Tang ren jie tan an 2,"$544,061,916 ","$1,983,984 ",0.40%,"$542,077,932 ",99.60%,2018
185,X-Men: Apocalypse,"$543,934,105 ","$155,442,489 ",28.60%,"$388,491,616 ",71.40%,2016
186,Sherlock Holmes: A Game of Shadows,"$543,848,418 ","$186,848,418 ",34.40%,"$357,000,000 ",65.60%,2011
187,Despicable Me,"$543,113,985 ","$251,513,985 ",46.30%,"$291,600,000 ",53.70%,2010
188,The Day After Tomorrow,"$542,771,772 ","$186,740,799 ",34.40%,"$356,030,973 ",65.60%,2004
189,Cinderella,"$542,351,353 ","$201,151,353 ",37.10%,"$341,200,000 ",62.90%,2015
190,Madagascar,"$542,063,846 ","$193,595,521 ",35.70%,"$348,468,325 ",64.30%,2005
191,World War Z,"$540,007,876 ","$202,359,711 ",37.50%,"$337,648,165 ",62.50%,2013
192,Brave,"$538,983,207 ","$237,283,207 ",44%,"$301,700,000 ",56%,2012
193,The Revenant,"$532,950,503 ","$183,637,894 ",34.50%,"$349,312,609 ",65.50%,2015
194,The Meg,"$530,243,742 ","$145,443,742 ",27.40%,"$384,800,000 ",72.60%,2018
195,Ralph Breaks the Internet,"$529,323,962 ","$201,091,711 ",38%,"$328,232,251 ",62%,2018
196,Hotel Transylvania 3: Summer Vacation,"$528,583,774 ","$167,510,016 ",31.70%,"$361,073,758 ",68.30%,2018
197,The Boss Baby,"$527,965,936 ","$175,003,033 ",33.20%,"$352,962,903 ",66.80%,2017
198,The Simpsons Movie,"$527,071,022 ","$183,135,014 ",34.80%,"$343,936,008 ",65.20%,2007
199,Dunkirk,"$526,940,665 ","$189,740,665 ",36%,"$337,200,000 ",64%,2017
200,Godzilla,"$524,976,069 ","$200,676,069 ",38.20%,"$324,300,000 ",61.80%,2014
